Function,Class,chunks0,chunks1,chunks2,chunks3,chunks4,ct,cube
4289606417,1,2,3,4,3,2,10,6
2767195967,1,2,4,4,3,2,11,7
3145666815,1,2,3,4,4,2,11,7
1067816357,0,2,4,4,3,2,12,9
2998129851,1,2,3,5,4,2,13,8
1066464092,0,2,4,4,3,2,14,10
3771475727,1,2,4,5,3,2,11,8
3909902596,1,2,3,5,3,2,14,10
2866327214,1,2,3,4,3,2,10,7
2930385576,1,2,3,3,3,2,11,9
3568810687,1,2,4,6,4,2,13,9
212267098,0,2,4,2,2,2,15,10
59444356,0,2,4,3,2,2,12,7
1606856502,0,2,4,4,3,2,13,17
1779870374,1,2,3,3,3,2,15,17
3078338415,1,2,3,3,3,2,14,10
3152954593,0,2,4,4,3,2,14,10
4241550661,1,2,3,5,4,2,15,9
4270979797,1,2,3,3,3,2,11,9
3748613895,1,2,3,4,3,2,16,10
1083064972,1,2,3,4,3,2,12,13
2343173983,1,2,3,4,3,2,12,8
3275505960,0,2,3,3,2,2,16,12
2134858731,1,2,3,5,3,2,14,17
4287024278,1,2,4,4,3,2,12,9
4292703026,1,2,3,4,3,2,12,8
3937151532,1,2,3,4,3,2,12,10
4294835324,1,2,3,3,2,2,10,8
1145827583,0,2,4,3,2,2,12,13
2840955767,0,2,4,4,3,2,12,7
2139242466,1,2,3,4,3,2,14,17
4031639781,1,2,3,3,3,2,10,7
4255603450,1,2,3,4,3,2,13,10
1154227091,0,2,4,4,3,2,12,14
812004192,0,2,3,3,3,2,12,9
3639631357,1,2,3,4,3,2,12,8
2962010271,1,2,3,4,3,2,11,6
228973829,1,2,3,4,3,2,12,8
530583968,0,2,3,4,3,2,10,14
3037052837,1,2,3,4,3,2,10,7
735016911,1,2,3,5,3,2,12,7
818152385,1,2,3,5,3,2,13,7
3085971696,1,2,3,4,3,2,10,8
3189545488,1,2,3,4,3,2,13,10
1812923663,1,2,4,4,3,2,11,12
2284715866,0,2,4,4,3,2,14,9
3254449663,1,2,3,4,3,2,10,7
1682881467,1,2,3,4,3,2,10,12
573706713,1,2,3,4,3,2,12,7
323427660,0,2,3,3,3,2,14,20
2162606314,1,2,3,4,3,2,12,7
3019068842,1,2,3,4,3,2,9,7
171547033,0,2,4,4,3,2,12,8
2294270192,1,2,3,5,3,2,12,8
4193627296,0,2,4,3,2,2,12,9
101109303,0,2,3,3,3,2,14,12
1576873381,1,2,4,5,3,2,12,14
2136857343,1,2,3,4,3,2,12,16
503125439,1,2,3,5,4,2,12,20
10839747,0,2,4,4,3,2,13,9
1340428058,0,2,4,4,3,2,14,17
716937403,1,2,3,4,3,2,12,8
3537882319,1,2,3,4,3,2,10,7
78689460,0,2,3,3,2,2,12,13
53476572,1,2,3,3,3,2,12,8
259992693,1,2,4,5,4,2,13,7
939529728,1,2,2,3,3,2,12,8
2426638447,0,2,4,4,3,2,14,9
864237479,1,2,3,4,3,2,11,6
3234856917,1,2,3,3,3,2,10,6
2247677397,1,2,3,4,3,2,14,10
1022524927,0,2,3,4,4,2,13,7
5951341,1,2,4,4,3,2,15,18
212840333,1,2,3,4,3,2,13,8
3013048311,1,2,3,4,4,2,14,8
1883234047,1,2,4,5,3,2,14,16
206109880,0,2,4,3,2,2,12,9
4025415671,1,2,3,3,3,2,9,7
98908991,1,2,3,5,4,2,12,13
2967519212,1,2,3,4,3,2,9,7
1566423052,1,2,4,4,3,2,12,14
2166423586,1,2,3,4,3,2,12,7
3012034679,1,2,3,4,3,2,11,7
4241467749,0,2,4,4,3,2,13,10
85992768,1,2,3,4,3,2,12,11
871590313,0,2,4,4,3,2,14,10
4243798261,1,2,4,4,3,2,13,8
1019462193,1,2,3,4,3,2,17,12
892467131,1,2,3,5,3,2,11,7
1575974315,1,2,3,4,3,2,12,15
3108433132,0,2,4,4,3,2,14,11
4293621719,1,2,3,3,3,2,13,10
4280223226,1,2,3,3,3,2,11,7
1610036640,1,2,3,5,4,2,14,16
893386688,1,2,3,3,3,2,10,7
248434318,1,2,3,4,3,2,9,7
4080490263,1,2,3,5,3,2,11,7
1941995392,1,2,4,4,3,2,10,13
4166023007,1,2,4,3,3,2,11,7
184197888,1,2,3,4,3,2,10,7
3422883920,1,2,3,4,3,2,11,6
718661333,0,2,4,4,3,2,12,9
252648641,1,2,3,3,3,2,11,7
1309660400,1,2,3,4,3,2,14,16
3587165131,1,2,4,4,3,2,12,8
2236364044,1,2,4,4,3,2,13,9
2576983410,1,2,4,4,3,2,12,9
4286455568,1,2,3,4,3,2,13,9
207172454,0,2,4,2,2,2,15,9
1037907229,1,2,3,4,3,2,12,7
1061113935,1,2,3,4,3,2,9,6
865407321,1,2,4,4,3,2,14,9
319009184,1,2,3,4,3,2,11,14
3370971304,1,2,3,5,4,2,13,11
600825920,1,2,4,4,3,2,13,9
1073699903,1,2,3,4,3,2,11,7
1042940159,1,2,3,3,3,2,10,7
4034262263,1,2,3,4,4,2,12,7
3479541055,0,2,4,4,3,2,13,10
2627508135,1,2,4,4,3,2,13,8
2482439167,1,2,3,4,3,2,12,7
336911380,0,2,3,3,2,2,10,13
2868549013,1,2,3,3,3,2,10,7
2920217499,1,2,3,4,3,2,14,9
4020437162,1,2,3,5,3,2,10,8
894816529,1,2,3,4,2,2,13,7
212206588,0,2,4,4,3,2,14,9
721954568,1,2,3,4,3,2,12,7
3225365201,1,2,3,4,3,2,15,10
1436131436,0,2,4,2,2,2,15,17
815442345,0,2,4,4,3,2,14,9
4120492817,1,2,3,4,3,2,11,8
3286749071,1,2,3,3,3,2,13,9
866943112,1,2,3,5,4,2,13,9
960066189,1,2,4,4,3,2,14,10
3790606496,1,2,3,3,3,2,14,9
